THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
656,789,743,9244,3624,-14168,2
656,789,743,9664,4828,-14980,2
656,789,743,9536,4092,-14472,2
656,789,743,8968,3344,-14000,2
656,789,743,8884,3100,-15056,2
656,789,743,8084,3652,-15720,2
656,789,743,6668,5144,-16900,2
656,789,742,6244,7648,-16844,2
656,789,742,5696,6500,-17016,2
656,788,741,5268,6712,-17304,2
656,788,743,4284,7384,-16344,2
656,788,742,5504,6184,-16156,2
656,788,743,5080,5540,-16772,2
656,788,742,4952,4696,-16112,2
656,788,743,4472,4628,-16392,2
656,788,742,4564,4268,-17028,2
656,788,742,4180,4336,-16648,2
656,788,742,4188,4516,-16728,2
656,788,742,4716,4548,-16376,2
656,788,742,4432,4852,-16700,2
656,788,742,4388,4380,-16520,2
656,788,742,4288,5616,-16240,2
656,788,742,4000,4444,-16524,2
656,788,743,4440,5504,-16376,2
656,787,743,4208,5200,-16772,2
656,788,742,4568,5000,-17208,2
656,788,741,3460,4448,-18464,2
656,788,742,2664,2992,-16680,2
656,788,743,3676,2936,-17048,2
656,788,741,3268,3468,-18228,2
656,788,741,3832,1892,-16900,2
657,788,741,3488,2368,-16744,2
657,788,740,2820,3416,-17356,2
658,788,740,3880,3264,-17424,2
657,788,741,3428,2340,-16572,2
657,787,741,3884,1892,-16728,2
657,787,741,3948,2992,-16784,2
657,787,742,3308,2888,-17248,2
657,787,741,4332,3464,-17452,2
657,787,742,4588,4564,-17452,2
656,787,741,5464,5556,-16816,2
656,786,740,5916,4976,-16236,2
657,786,741,6080,5928,-16408,2
657,786,741,6248,5040,-16388,2
656,786,742,5860,4284,-16400,2
656,786,741,5732,4412,-16028,2
656,786,741,6304,4100,-16084,2
656,786,741,5692,4776,-16264,2
656,786,741,5652,4000,-15352,2
656,786,742,5876,5376,-16040,2
656,786,741,5244,7304,-15972,2
656,786,741,5080,8076,-14636,2
656,786,745,4512,8616,-14888,2
656,786,740,5512,7076,-14624,2
656,786,741,4568,5096,-16144,2
656,786,742,5268,4240,-17312,2
656,786,741,4776,3360,-16688,2
656,786,741,4616,3588,-16672,2
656,786,741,4804,3936,-16256,2
656,786,741,4608,4372,-17096,2
656,786,740,4712,3076,-17216,2
656,786,741,4356,3200,-17156,2
656,786,741,4708,4352,-17108,2
656,786,741,4024,4376,-16536,2
656,786,741,4196,3808,-16940,2
657,786,740,3744,2980,-16976,2
656,786,740,3920,2488,-16644,2
656,786,741,4520,2744,-16960,2
656,786,741,4300,4380,-16340,2
656,786,740,3944,3676,-16920,2
656,786,740,3800,2724,-16968,2
656,786,741,3832,3000,-16864,2
656,786,741,4296,3800,-17196,2
656,786,740,4308,3932,-16512,2
657,786,740,4112,4404,-17068,2
657,786,740,3752,3808,-16852,2
657,786,740,3816,3152,-17248,2
657,786,740,4420,1620,-17612,2
657,786,741,4056,3904,-17976,2
657,787,742,4764,4568,-16704,2
658,787,742,4008,5552,-16204,2
657,786,741,4344,6572,-16096,2
