THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
852,910,912,15917,3492,-6344,2
894,862,860,15348,4665,-9021,3
852,919,903,16840,701,-6644,2
852,918,916,16040,-1792,-3743,2
870,919,916,8144,-11891,-6243,8
872,918,855,15724,4295,-5336,4
841,916,908,15401,-2656,-6425,8
884,887,910,17223,237,-2533,6
871,919,918,8700,-13148,-6384,8
867,844,854,16313,2620,-5533,3
865,812,851,15901,3024,-5716,5
922,810,827,16112,3597,-4761,1
834,819,849,16649,3723,-3465,5
829,821,856,15853,1684,-6468,5
878,799,846,16476,2401,-6479,5
867,919,916,6943,-13205,-6632,8
900,862,861,17308,1972,-5976,3
867,842,850,16417,2720,-6537,3
868,846,858,16227,3613,-5692,3
903,898,854,16364,-1471,-5631,6
825,821,853,10965,4051,-12740,5
835,820,856,15136,1997,-6293,5
869,917,916,7663,-13069,-6057,8
869,919,917,7411,-12147,-6037,8
866,883,849,16987,-603,-5421,6
851,824,916,18284,-313,-4667,6
921,811,830,16343,3293,-4979,1
919,914,865,16480,-724,-4880,7
877,915,859,18076,-2164,-5751,4
830,835,915,17783,-893,-3468,6
898,822,875,15671,1197,-4361,5
856,919,905,16501,2159,-7617,2
862,916,917,17257,1836,-2063,2
918,916,866,17168,-1103,-5732,7
871,916,854,16188,3268,-6129,4
868,919,917,8509,-13693,-5788,8
884,886,909,17225,236,-2532,6
918,912,862,16131,-1289,-5585,7
867,919,916,6943,-13204,-6631,8
920,914,862,17401,-1644,-5745,7
859,917,919,15751,455,-7179,2
876,916,857,18077,-2164,-5753,4
870,847,859,16227,3611,-5691,3
920,811,828,15976,3197,-4376,1
896,822,875,15673,1197,-4361,5
841,837,915,16916,471,-1507,6
863,917,918,17200,1292,-3547,2
830,818,854,15807,2465,-6132,5
868,918,917,7256,-12904,-5780,8
846,917,904,18071,683,-5725,2
835,821,848,16213,4820,-4853,5
870,919,917,7692,-13288,-6344,8
868,917,918,8131,-13601,-6393,8
